mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
7.9532294273376465,0.024077184545502006,0.00834043820699056,0.0004719885978494184,0.07200000000000001,1,0.855,1,99,0.81,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 1, 'n_estimators': 99, 'subsample': 0.81}",-5000734690.014684,-5097624423.095336,-4982983807.3801,-5027114306.83004,50382079.025422364,463
8.829692681630453,0.025352156775415816,0.008674224217732748,0.0004719324723236172,0.07200000000000001,1,0.855,1,99,0.9,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 1, 'n_estimators': 99, 'subsample': 0.9}",-5002534806.234241,-5101137688.818105,-4985088295.219698,-5029586930.090681,51092912.049178496,478
9.691141525904337,0.030417387340022077,0.008674542109171549,0.0004719885175601573,0.07200000000000001,1,0.855,1,99,0.9900000000000001,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 1, 'n_estimators': 99, 'subsample': 0.9900000000000001}",-5007041498.666384,-5100986547.180704,-4983562480.3517275,-5030530175.399605,50733889.51954649,484
7.98091983795166,0.06316762082961504,0.008007287979125977,0.0008174107416428379,0.07200000000000001,1,0.855,1,100,0.81,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.81}",-4999376137.755243,-5095291114.730042,-4980884443.731375,-5025183898.738887,50144803.56920348,448
8.805002927780151,0.05035165038555625,0.008340994517008463,0.0012485518259870653,0.07200000000000001,1,0.855,1,100,0.9,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9}",-5001222049.279547,-5099247395.556799,-4983285457.048326,-5027918300.628223,50966068.27236166,466
9.562024275461832,0.09409742381523425,0.009008248647054037,0.0008175080775516306,0.07200000000000001,1,0.855,1,100,0.9900000000000001,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.9900000000000001}",-5005013192.496468,-5099475448.129864,-4981085055.110727,-5028524565.245687,51112032.348694056,475
7.800089279810588,0.10171883919759785,0.009008089701334635,2.247831920581015e-07,0.07200000000000001,1,0.855,1,101,0.81,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 1, 'n_estimators': 101, 'subsample': 0.81}",-4997761750.505933,-5093340590.832092,-4979117961.020965,-5023406767.452996,50033005.512387305,439
8.711584885915121,0.032734105258732306,0.00934163729349772,0.0009436960410774981,0.07200000000000001,1,0.855,1,101,0.9,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 1, 'n_estimators': 101, 'subsample': 0.9}",-5000142244.437339,-5097645148.269262,-4981250094.938495,-5026345829.215032,51002764.639898844,454
9.621411720911661,0.06086300192959702,0.008007049560546875,1.9466795466607238e-07,0.07200000000000001,1,0.855,1,101,0.9900000000000001,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 1, 'n_estimators': 101, 'subsample': 0.9900000000000001}",-5003727293.181467,-5097060457.809194,-4979094457.700545,-5026627402.897069,50808828.39394709,460
7.660963137944539,0.06693402188477207,0.008341153462727865,0.00047165134277924473,0.07200000000000001,1,0.855,2,99,0.81,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 2, 'n_estimators': 99, 'subsample': 0.81}",-5000734690.014684,-5097624423.095336,-4982983807.3801,-5027114306.83004,50382079.025422364,463
8.40930962562561,0.014852927337059499,0.009008646011352539,1.9466795466607238e-07,0.07200000000000001,1,0.855,2,99,0.9,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 2, 'n_estimators': 99, 'subsample': 0.9}",-5002534806.234241,-5101137688.818105,-4985088295.219698,-5029586930.090681,51092912.049178496,478
9.397875308990479,0.05174040539326251,0.008674701054890951,0.0004717637343728811,0.07200000000000001,1,0.855,2,99,0.9900000000000001,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 2, 'n_estimators': 99, 'subsample': 0.9900000000000001}",-5007041498.666384,-5100986547.180704,-4983562480.3517275,-5030530175.399605,50733889.51954649,484
7.651621341705322,0.04594254895393676,0.008341073989868164,0.0004718761259665186,0.07200000000000001,1,0.855,2,100,0.81,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.81}",-4999376137.755243,-5095291114.730042,-4980884443.731375,-5025183898.738887,50144803.56920348,448
8.600817441940308,0.039667234174007616,0.008674383163452148,0.00047221338099847975,0.07200000000000001,1,0.855,2,100,0.9,"{'learning_rate': 0.07200000000000001, 'max_depth': 1, 'max_features': 0.855, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.9}",-5001222049.279547,-5099247395.556799,-4983285457.048326,-5027918300.628223,50966068.27236166,466
