train_sizes,train_scores_mean,train_scores_std,test_scores_mean,test_scores_std
3200,4653808961.19995,48900898.55988349,5073298530.995253,46974844.91710889
10400,4772349682.646551,27446284.125529595,5011176709.4959545,40107219.81170093
17600,4892824471.55691,30540151.4006681,5000007588.416983,41723047.65349056
24800,4903363847.489784,14704059.170685135,4993007611.790558,44956777.70242787
32000,4914235327.59968,10014884.31179499,4987579063.912329,42862697.84706952
