,standard,robust,minmax
ridge,"{'CV_MSE_mean': 4984627609.6, 'CV_MSE_std': 37034485.33557918, 'Test_RMSE': 70576.734, 'Test_R2': 0.8378801345825195}","{'CV_MSE_mean': 4982818918.4, 'CV_MSE_std': 36267562.38665074, 'Test_RMSE': 70556.08, 'Test_R2': 0.837975025177002}","{'CV_MSE_mean': 4983988736.0, 'CV_MSE_std': 35919286.62821955, 'Test_RMSE': 70571.96, 'Test_R2': 0.8379021286964417}"
rf,"{'CV_MSE_mean': 5179100270.614237, 'CV_MSE_std': 32242288.39618824, 'Test_RMSE': 71725.12184883589, 'Test_R2': 0.8325613943542647}","{'CV_MSE_mean': 5327195587.093205, 'CV_MSE_std': 42479572.94183161, 'Test_RMSE': 72994.85254315654, 'Test_R2': 0.8265806793925886}","{'CV_MSE_mean': 5179550212.676226, 'CV_MSE_std': 38408770.70807382, 'Test_RMSE': 71536.82587881395, 'Test_R2': 0.8334393748856759}"
gb,"{'CV_MSE_mean': 4995982472.930723, 'CV_MSE_std': 44255931.80392279, 'Test_RMSE': 70547.00907472677, 'Test_R2': 0.8380167078222713}","{'CV_MSE_mean': 4991346961.961313, 'CV_MSE_std': 42627184.58048278, 'Test_RMSE': 70538.86855416346, 'Test_R2': 0.8380540886342709}","{'CV_MSE_mean': 4996410019.147791, 'CV_MSE_std': 41068137.44018959, 'Test_RMSE': 70525.84597790362, 'Test_R2': 0.8381138786011681}"
nn,"{'CV_MSE_mean': 5968662835.2, 'CV_MSE_std': 1056370157.0709068, 'Test_RMSE': 70789.09, 'Test_R2': 0.8369030952453613}","{'CV_MSE_mean': 5575616102.4, 'CV_MSE_std': 1161508302.0076537, 'Test_RMSE': 70487.43, 'Test_R2': 0.8382902145385742}","{'CV_MSE_mean': 6138061619.2, 'CV_MSE_std': 1601123587.717638, 'Test_RMSE': 70645.08, 'Test_R2': 0.8375660181045532}"
