,standard,robust,minmax
ridge,"{'CV_MSE_mean': 4984627609.6, 'CV_MSE_std': 37034485.33557918, 'Test_RMSE': 70576.734, 'Test_R2': 0.8378801345825195}","{'CV_MSE_mean': 4982818918.4, 'CV_MSE_std': 36267562.38665074, 'Test_RMSE': 70556.08, 'Test_R2': 0.837975025177002}","{'CV_MSE_mean': 4983988736.0, 'CV_MSE_std': 35919286.62821955, 'Test_RMSE': 70571.96, 'Test_R2': 0.8379021286964417}"
rf,"{'CV_MSE_mean': 5174008233.3439, 'CV_MSE_std': 30252340.860036395, 'Test_RMSE': 71681.91084364422, 'Test_R2': 0.8327630813180729}","{'CV_MSE_mean': 5333351904.739271, 'CV_MSE_std': 43454793.14943321, 'Test_RMSE': 72941.76951839191, 'Test_R2': 0.8268328142906538}","{'CV_MSE_mean': 5186209000.877802, 'CV_MSE_std': 40453314.94335139, 'Test_RMSE': 71655.772889176, 'Test_R2': 0.8328850209805578}"
gb,"{'CV_MSE_mean': 4995762211.415296, 'CV_MSE_std': 43969760.29532071, 'Test_RMSE': 70547.52235287285, 'Test_R2': 0.8380143507333613}","{'CV_MSE_mean': 4991244687.841056, 'CV_MSE_std': 42539145.24498253, 'Test_RMSE': 70537.74071695449, 'Test_R2': 0.8380592672589994}","{'CV_MSE_mean': 4996463206.64313, 'CV_MSE_std': 41358050.497308515, 'Test_RMSE': 70525.70233694266, 'Test_R2': 0.8381145380318786}"
nn,"{'CV_MSE_mean': 5779865804.8, 'CV_MSE_std': 953498675.4739155, 'Test_RMSE': 70738.336, 'Test_R2': 0.8371368646621704}","{'CV_MSE_mean': 5003160064.0, 'CV_MSE_std': 53480845.677637614, 'Test_RMSE': 98932.375, 'Test_R2': 0.6814410090446472}","{'CV_MSE_mean': 7253146009.6, 'CV_MSE_std': 2666779749.4589815, 'Test_RMSE': 70766.14, 'Test_R2': 0.8370088338851929}"
