n_clusters,inertia
1,759635.8691184326
2,692992.55646251
3,628464.6885140509
4,603444.6819274105
5,578747.4152156322
6,560999.5155564921
7,542264.9031244732
8,528592.0935055139
9,519302.6243844045
10,510348.1803870655
