PC1,PC2,Cluster
-0.1954521,-0.058028348,4
0.52402884,-1.1694052,0
-0.19162822,-0.11649896,0
1.2815639,-0.15761198,4
-0.35993075,0.962354,1
0.5121927,0.87568384,1
1.2954677,-0.029203886,2
-0.44397306,-0.96643203,3
-0.39389238,0.8342753,1
-0.49661747,-1.0502226,4
0.28956053,-0.09830278,2
1.2686782,-0.007789723,2
-0.49300617,-0.93559515,0
-0.46053842,-0.9883351,3
-0.44082892,0.8884989,1
-1.11403,-0.15713924,0
-1.1176827,-0.122572385,0
0.56175756,0.84618455,1
-1.1626148,0.037422165,4
-0.4801373,-0.92820567,4
0.55944216,0.8587269,4
-0.39277974,1.0330694,1
0.26249447,-0.11092509,2
1.2360139,-0.08993662,2
0.49457768,-1.1073248,2
-0.40018803,0.8779312,1
-1.125643,-0.12256871,3
1.2379625,-0.10450572,2
0.30469105,-0.0061431057,2
0.34405395,-0.1683179,2
1.2441951,-0.08856742,4
-0.3765344,0.8288591,1
1.2974336,-0.1356604,4
-1.1724813,0.02055922,3
0.26627937,0.033592425,2
0.56147116,0.86384827,1
-0.17921238,-0.1364701,0
0.5773653,0.846223,1
-0.17461522,-0.1601829,0
-0.4433624,-1.0093888,0
-0.37864825,0.87610066,1
-1.1737355,-0.07185296,4
0.52089214,-1.1057682,0
0.5760539,0.8737077,1
0.51507187,-1.1344664,4
-0.3967769,-1.1578825,0
0.520514,-1.1340789,0
-0.40402025,-1.1302165,3
-0.42008522,0.99024487,1
-1.1786968,-0.11150975,3
0.32119316,-0.12331205,4
-0.4182178,1.0409935,4
-0.46445844,-1.1336179,4
-0.3819915,0.879062,1
-0.45603147,-1.1176684,3
0.55320054,0.8653295,1
-0.45967737,-1.1225226,3
-0.37136936,0.87178785,1
-0.42184588,-1.0104172,3
-0.40410095,0.9934358,1
0.6123262,0.7830767,1
0.5735688,1.0010922,1
1.2959359,-0.2017198,2
-0.21717705,0.03926289,1
0.558672,0.8810776,1
-0.41952834,-1.0262785,3
0.5831381,0.86073756,1
-0.2248521,0.04835198,1
-0.40949538,0.99099845,1
-1.2180218,-0.07012837,3
0.532749,1.0122112,1
0.32186425,0.05095882,4
-1.1776091,-0.06410795,4
-0.43292567,1.0568622,4
-0.13849328,-0.026165694,0
0.5350114,-0.9962011,0
0.5594653,-1.1705256,0
-0.47556412,-1.0540206,3
1.2534214,-0.107967876,2
1.2766834,-0.12600589,4
0.5368783,-1.1275072,2
-0.38485408,0.88105315,1
-0.39110836,1.0515987,4
0.35763076,-0.16927913,2
-0.4655797,-1.1327013,3
-0.4549447,-1.0601926,3
-0.3960668,0.8917412,1
-0.42822084,1.0223798,4
-0.4382753,0.9926228,1
-0.41564837,0.884637,1
0.5428779,-1.1009581,2
-1.1562344,-0.06613329,3
1.2495196,0.0032818925,4
-1.1590126,0.024545237,0
1.3259166,-0.19789453,2
-1.1667205,-0.09176092,3
0.49710274,-1.0995427,0
0.54335225,0.88635087,1
1.2681767,-0.17577943,2
0.5676361,0.8520648,1
-0.19107564,-0.15770942,1
-0.37244886,0.8481305,1
-0.39998347,0.9951588,1
0.30210426,-0.13103263,2
-0.44534305,-1.0925058,3
1.2433038,-0.017765636,2
1.3087481,-0.18947235,2
-1.1937351,-0.089379966,3
0.33434823,-0.18191582,2
-0.42395312,-1.0175247,0
0.4898732,-1.1003494,2
-0.46558544,-1.1019807,0
0.3190213,-0.03788877,2
-1.1590557,0.017505836,4
1.2264407,0.03522623,2
-1.1904348,-0.060513172,0
-1.205518,-0.06595498,3
0.52782863,1.0358891,1
0.5413822,1.001501,1
0.26562917,-0.07898593,2
-0.38516045,0.9984247,1
0.53697395,0.99309176,1
0.30107185,-0.11790379,2
-0.43545645,0.9383786,4
0.58299416,0.96992296,1
-0.4147692,-0.9761,4
-1.1367925,-0.02081976,0
-1.1226784,-0.14631182,3
0.5050241,-0.9825582,0
-1.1625845,0.0031897542,3
-1.12755,0.021862322,0
0.3094245,0.008663019,2
0.2794656,-0.08581128,2
0.544066,0.8780637,4
0.5796871,0.98371255,1
-0.35998395,0.8767886,1
-1.175402,0.03708508,3
0.29181316,-0.10279045,2
0.48973733,-0.99908465,2
-0.43367082,-1.0012861,3
-1.1610135,-0.090238385,3
0.29510894,0.027098382,2
-0.41525546,-1.1379857,3
1.266864,-0.014495733,2
1.3129455,-0.17904039,2
-1.1216626,-0.12282525,3
-0.44242263,-1.1177814,0
0.5209129,-1.0081861,2
0.29700983,-0.09643269,2
0.4986239,-0.9853298,0
-0.18088298,-0.0014999353,1
-1.1349431,-0.12573518,0
-0.46496195,0.90153486,1
-1.1394109,0.030231964,0
-0.40679136,0.894725,4
-1.1227043,-0.1294967,0
0.5512246,-1.1151898,2
-1.1302751,-0.14292721,0
-1.1633879,-0.07774101,0
0.27259248,-0.078146674,4
-1.15645,-0.099526815,0
-0.38745114,-1.1291827,3
0.5367033,0.9810253,1
-1.1571019,-0.11883519,0
0.57674646,-1.0417649,0
-1.1513826,-0.075359315,3
-1.1840674,-0.0358735,3
0.2914996,0.022259433,2
1.2522604,0.023252916,4
-1.1827681,-0.029968027,4
0.546616,-1.1047574,4
-0.38902673,1.0105426,1
-0.23947576,-0.081224374,1
-1.1750361,0.08407952,4
0.52606475,0.8825064,1
0.3609468,-0.17976852,2
0.57134116,0.838887,1
-0.39386758,0.83613026,1
-0.48980328,-1.0694134,4
0.5273623,-1.080968,0
-0.1497728,-0.14158867,0
1.2471428,-0.12582554,2
-0.37279922,0.8513518,4
-1.1410233,-0.117623895,3
1.2967532,-0.033659976,4
1.2123492,-0.09626194,4
-0.22883923,0.06315752,4
0.49847066,-0.9889904,2
0.5308137,1.0288917,1
0.31839356,-0.124014735,2
1.310123,-0.16325979,2
-0.3615049,0.8112562,1
0.50501895,-1.120066,2
0.57082695,1.0101887,1
-1.1412573,0.003867528,0
-1.1381584,0.056100257,3
-0.22482449,-0.12329939,0
0.26499388,-0.12439696,2
0.56247795,0.8237227,4
0.56734335,0.8410711,1
0.2594345,-0.12320778,2
-0.44430956,0.93028784,4
0.51051027,0.8472812,1
-0.46238834,-1.1053288,3
0.28217608,-0.0972477,4
0.5911193,0.8223738,1
-0.41579407,-1.1027349,4
-1.1246519,-0.014573264,0
0.27030498,-0.118968755,2
-0.41863543,-1.1080593,0
-0.42042947,0.9774477,1
0.5599915,0.8581577,1
0.4851408,-0.96733075,2
0.55947083,0.89166546,1
-1.1625736,-0.09575254,3
0.5937093,0.9729794,1
-1.1378542,-0.09940466,0
-0.44973814,-1.0947881,3
-0.45700967,-0.95162505,0
0.28322732,-0.11484551,2
1.2991023,-0.049123295,2
1.2544558,-0.018034687,2
-0.41661096,1.0151665,1
-0.39041436,0.99062335,1
-0.38994873,0.8810711,1
0.56456417,0.96328443,4
-0.41557902,-1.008025,4
-0.40999007,0.85320985,1
-0.1878868,-0.13458435,1
-1.1734513,-0.09306582,3
0.51742685,0.91714954,1
1.2624624,-0.13173965,2
-0.43930578,1.0302715,1
-0.4282462,-1.1536874,0
-0.21488564,-0.14245966,1
-1.1415012,-0.11003122,3
-0.41305268,1.0221608,4
-0.489955,-1.0820549,3
-1.1689171,-0.00877748,3
-0.39042372,0.8784977,1
-1.1849318,0.0441892,3
0.2500106,0.017418545,2
0.28848496,0.0125978505,2
1.2673172,-0.14796527,2
-0.42211434,-1.1377927,4
0.5816827,-1.1721787,0
1.2880769,-0.043139305,2
0.55965894,0.8150937,1
0.30080795,0.030019531,2
-0.46086323,0.91249186,1
-0.4773283,-1.0501889,3
-1.1841546,-0.06979619,0
-1.1767503,0.09396354,4
