n_clusters,inertia
1,151179.11087702974
2,131262.46454343374
3,124858.50860361203
4,119065.78396641067
5,112523.30705405405
6,105440.64641641098
7,101797.18139171475
8,103627.19132314109
9,98426.79836120471
10,96461.08498355767
